Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.069349206349205,37.3,72238598.16,235304.88,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,759048.0,0.61375
1998,22.6921873015873,117.6,66700374.0,195780.45,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,675105.0,0.7535
1999,23.25118888888889,69.7,69556116.18,176954.22,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,655386.0,0.874390244
2000,22.119425396825395,91.8,54596460.14,144596.92,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,556142.0,0.874347826
2001,22.475065873015875,41.4,57851027.85,147275.7,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,566445.0,0.916956522
2003,22.219519841269843,163.4,53064662.7,128667.6,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,536115.0,0.845571429
2006,22.58660555555556,64.2,76522171.77,131821.14,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,599187.0,0.904857143
2007,22.48734285714286,293.8,83699295.4,100388.96,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,627431.0,1.005142857
2008,21.62015873015873,10.2,93883874.88,59071.23,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,656347.0,0.983857143
2009,22.56987063492064,24.0,95560666.32,104256.92,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,613276.0,1.01028169
2010,23.403861904761907,44.8,100262833.2,144862.32,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,603593.0,1.056944444
2011,23.06541349206349,55.99999999999999,107080626.7,210939.63,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,639211.0,1.016388889
2012,22.898169841269844,49.4,99878760.8,205321.06,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,662326.0,1.114933333
2013,23.03207936507937,240.40000000000003,95742686.25,178908.75,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,662625.0,0.939466667
2014,22.787571428571425,246.0,94505639.76,206590.23,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,626031.0,0.708666667
2015,22.884714285714285,278.7,93696056.41,195805.83,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,593351.0,0.8876
2016,22.808761904761905,52.400000000000006,105615915.5,241210.9,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,689174.0,1.165866667
2017,23.13619047619048,87.4,106878616.3,257964.14,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,678853.0,1.2172
2018,22.990571428571428,87.4,122165958.2,263613.35,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,753181.0,1.237733333
2019,22.846714285714285,87.4,120728214.6,260068.93,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,702889.0,1.101066667
2002,22.34032142857143,149.8,52919488.63,139747.25,1.53,98.35,15.19,63.87,20.94,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,558989.0,0.788823529
