Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,25.32285648148148,4209.1,31132295.91,101408.13,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,327123.0,True,0.718333333
1998,23.641410493827163,388.4,34022570.4,99863.82,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,344358.0,False,0.667222222
1999,24.229,35.2,36716840.93,93409.47,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,345961.0,False,0.766111111
2000,23.897808641975303,173.2,42801923.66,113359.48,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,435998.0,False,0.841666667
2001,23.5583950617284,109.7,44894101.14,114290.28,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,439578.0,False,0.688333333
2002,23.77319444444445,190.1,38650920.9,102067.5,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,408270.0,False,0.692777778
2003,23.45116049382716,268.5,44739157.96,108480.48,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,452002.0,False,0.845555556
2005,23.70725308641975,294.0,50544241.36,88511.43,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,421483.0,False,0.796666667
2006,23.63783641975309,71.9,53832574.62,92734.84,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,421522.0,False,0.688333333
2007,23.766546296296298,230.2,54360233.2,65199.68,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,407498.0,False,0.771666667
2008,23.38854938271605,208.4,59002283.52,37123.92,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,412488.0,False,0.677777778
2004,23.68624691358025,91.7,49565008.3,96073.95,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,457495.0,False,0.707222222
2009,23.865716049382712,123.0,63935750.76,69754.06,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,410318.0,False,0.937777778
2010,24.627373456790124,121.3,68236825.23,98590.32,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,410793.0,False,0.974444444
2011,23.82762962962963,145.3,70270116.96,138426.09,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,419473.0,False,0.775555556
2012,24.25616666666666,135.1,67395234.4,138544.58,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,446918.0,False,0.965
2013,24.17833333333333,76.0,64816913.59,121119.57,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,448591.0,False,0.993888889
2014,23.953333333333333,127.5,67720957.92,148038.66,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,448602.0,False,0.932777778
2015,24.16481481481481,133.2,72296251.12,151084.56,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,457832.0,False,0.887222222
2016,24.000925925925927,189.2,70357841.25,160686.75,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,459105.0,False,0.867727273
2017,24.20129629629629,129.29999999999998,97108677.12,234383.24,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,616798.0,False,0.965909091
2018,24.13518518518519,129.29999999999998,98282332.6,212076.55,4.69,31.8,21.87,29.76,15.52,32.87,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,605933.0,False,0.98
