Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Low_%,Phosphorus_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,20.680571428571422,49.0,57802260.86,188280.98,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,607358.0,False,False,0.780869565
1997,23.696698412698414,373.7000000000001,16652275.58,54241.94,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,174974.0,True,False,1.060434783
1997,17.6685,94.3,165911859.6,540429.51,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1743321.0,False,True,0.941304348
1998,21.479222222222223,238.9,58783925.2,172543.91,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,594979.0,False,False,1.055652174
1998,23.58195238095238,436.3,22122604.4,64934.77,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,223913.0,True,False,1.685217391
1998,18.069357142857143,43.7,161560724.0,474216.7,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1635230.0,False,True,1.395652174
1999,22.00011111111112,222.7,59137758.6,150449.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,557220.0,False,False,1.094782609
1999,23.845920634920635,617.4,31271629.02,79556.58,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,294654.0,True,False,1.990434783
1999,18.1905,5.199999999999999,190396583.2,484378.38,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1793994.0,False,True,1.501304348
2000,20.831015873015872,106.1,52978913.05,140312.9,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,539665.0,False,False,1.197826087
2000,24.13736507936508,613.6,32322963.35,85606.3,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,329255.0,True,False,1.825217391
2000,16.616238095238096,34.599999999999994,174473319.7,462086.82,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1777257.0,False,True,1.581304348
2001,21.697444444444447,221.9,50625636.74,128881.48,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,495698.0,False,False,1.120434783
2001,22.716206349206352,465.0,33293052.31,84756.62,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,325987.0,True,False,1.806521739
2001,17.793857142857142,47.5,175125987.7,445831.36,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1714736.0,False,True,1.600434783
2002,20.754174603174604,118.9,43973930.99,116124.25,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,464497.0,False,False,1.076521739
2002,23.50879365079365,566.8,31001395.56,81867.0,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,327468.0,True,False,1.794347826
2002,17.35161904761905,33.800000000000004,165550849.1,437178.75,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1748715.0,False,True,1.545652174
2003,20.596619047619047,244.8,43664334.14,105874.32,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,441143.0,False,False,1.118695652
2003,23.772603174603177,449.6,31622130.4,76675.2,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,319480.0,True,False,1.493913043
2003,16.16616666666667,69.6,175115712.9,424608.72,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1769203.0,False,True,1.618695652
2005,20.889888888888887,227.5,47766054.72,83646.36,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,398316.0,False,False,1.132222222
2005,24.26874603174603,488.7,37735346.32,66080.91,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,314671.0,True,False,1.637692308
2005,17.692595238095237,54.6,204744212.8,358541.4,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,1707340.0,False,True,1.502592593
2006,21.930238095238096,122.7,48458410.11,83477.02,0.06,0.1,70.91,22.77,14.86,0.02,45.82,54.17,99.96,0.04,99.95,0.05,100.0,0.0,93.66,6.34,0.0,100.0,379441.0,False,False,1.028148148
