Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,21.62775925925926,38.8,71346189.07,232398.01,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,749671.0,False,False,False,1.102244898
1997,27.804796296296296,71.5,11841907.93,38572.99,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,124429.0,False,True,False,1.683265306
1997,17.67384722222222,42.2,403349874.7,1313843.24,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,4238204.0,False,False,True,1.354363636
1998,28.19276851851852,64.80000000000001,13124196.8,38522.44,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,132836.0,False,True,False,1.765777778
1998,18.275319444444445,19.6,418362968.4,1227988.47,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,4234443.0,False,False,True,1.242909091
1999,29.479569444444444,1193.0,78985129.9,200942.1,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,744230.0,True,False,False,1.061666667
1999,28.82775,87.39999999999999,13252877.62,33715.98,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,124874.0,False,True,False,1.700666667
2000,21.99487962962963,9.6,288599184.3,764345.4,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2939790.0,False,False,False,1.399189189
2000,29.2015625,1047.7,58087679.85,153843.3,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,591705.0,True,False,False,1.310645161
2000,29.048583333333333,133.4,12305511.33,32590.74,0.66,38.27,15.63,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,125349.0,False,True,False,1.590645161
