Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Organic_Carbon_Medium_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,64011342.0,208506.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,672600.0,False,True,1.665
1998,29.63939285714285,1381.9,61463480.0,180409.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,622100.0,False,False,1.695384615
1999,28.471535714285714,633.9,70512772.0,179388.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,664400.0,False,False,1.510714286
2000,27.80692857142857,791.3,57282195.0,151710.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,583500.0,False,False,0.8725
2000,28.506492063492065,39.0,382863.0,1014.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3900.0,True,False,3.53
2001,27.75467857142857,1313.0,67814320.0,172640.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,664000.0,False,False,1.533571429
2001,28.210761904761902,3.4000000000000004,388094.0,988.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3800.0,True,False,2.935
2002,28.211273809523806,939.2,44400230.0,117250.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,469000.0,False,False,1.209230769
2002,28.827555555555552,0.0,1117106.0,2950.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,11800.0,True,False,4.53
2003,28.348130952380952,1834.9,64475572.0,156336.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,651400.0,False,False,1.7125
2003,28.210619047619048,0.0,2365622.0,5736.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,23900.0,True,False,3.565714286
2004,28.65139285714286,1428.0,72111104.0,139776.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,665600.0,False,False,1.730666667
2004,28.56292063492064,18.0,1495092.0,2898.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,13800.0,True,False,2.68625
2005,27.521297619047623,1944.0,77744136.0,136143.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,648300.0,False,False,1.843125
2005,29.15184126984127,0.7,2950032.0,5166.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,24600.0,True,False,3.054444444
2006,29.02797619047619,2162.5,83726676.0,144232.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,655600.0,False,False,1.601875
2006,28.390904761904764,0.2,4303827.0,7414.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,33700.0,True,False,2.855555556
2007,28.10422619047619,2062.5,96848400.0,116160.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,726000.0,False,False,1.8325
2007,29.34952380952381,0.5,4348840.0,5216.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,32600.0,True,False,3.043333333
2008,27.914571428571428,1486.9,103289184.0,64989.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,722100.0,False,False,1.615294118
2008,28.04119047619048,3.7,3604608.0,2268.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,25200.0,True,False,2.921111111
2009,28.537261904761905,1197.6999999999998,102607470.0,111945.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,658500.0,False,False,1.693529412
2009,29.223269841269843,0.0,3272220.0,3570.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,21000.0,True,False,3.034444444
2010,27.948678571428577,2078.9,120977913.0,174792.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,728300.0,False,False,1.8275
2010,28.75734920634921,0.1,13255578.0,19152.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,79800.0,True,False,2.987777778
2011,28.195857142857147,1629.4,125857776.0,247929.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,751300.0,False,False,1.951666667
2011,28.56006349206349,0.0,14105184.0,27786.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,84200.0,True,False,3.122222222
2012,27.55394047619048,1026.8000000000002,101337600.0,208320.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,672000.0,False,False,1.98
2012,28.65612698412698,0.3,4388280.0,9021.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,29100.0,True,False,2.943
2013,28.097369047619047,1701.9,113756977.0,212571.0,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,787300.0,False,False,1.939411765
2013,29.39714285714286,13.2,4782474.51,8936.73,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,33099.0,True,False,3.133636364
2014,28.582857142857144,1065.8000000000002,115213426.8,251857.65,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,763205.0,False,False,1.867368421
2014,28.82238095238095,4.9,4715688.48,10308.54,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,31238.0,True,False,3.144166667
2015,28.56,1036.0,117017942.2,244543.86,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,741042.0,False,False,1.895238095
2015,28.81142857142857,9.3,5233137.4,10936.2,1.63,19.62,16.35,67.1,34.35,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,33140.0,True,False,3.201818182
