Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,32.922934210526314,432.6,107365367.2,315141.26,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1086694.0,2.286666667
1999,30.34511842105263,287.9,114944308.8,292424.04,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1083052.0,2.235
2000,30.435473684210525,326.9,103498863.9,274113.32,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1054282.0,2.443157895
2001,30.56701315789473,357.1,104939085.6,267151.3,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1027505.0,2.645555556
2002,31.20852631578948,228.5,85737980.17,226412.75,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,905651.0,2.495
2003,30.65071052631579,324.29999999999995,100483605.2,243645.84,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1015191.0,2.733333333
2004,30.87286842105264,234.00000000000003,110965728.2,215089.56,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1024236.0,2.832777778
2005,30.51153947368421,413.3,125506833.0,219783.48,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1046588.0,2.940526316
2006,31.080250000000003,504.8,133078417.6,229247.92,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1042036.0,2.8545
2007,30.179789473684213,448.6,143077503.0,171607.2,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1072545.0,3.191578947
2008,30.397157894736846,629.3999999999999,173242753.0,109003.41,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1211149.0,2.569
2009,30.991894736842102,300.1,187986701.7,205093.95,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1206435.0,2.673809524
2010,31.183605263157897,395.1,206521406.9,298387.44,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1243281.0,2.561428571
2011,30.52144736842105,617.5,206735426.9,407251.02,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1234094.0,2.63047619
2012,30.81382894736842,379.5,181903254.0,373939.05,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1206255.0,3.041
2013,31.215434210526315,479.69999999999993,179745560.0,335880.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1244000.0,3.112
2014,31.53842105263158,244.6,192775920.0,421410.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1277000.0,2.9465
2015,31.48368421052632,336.3,213652230.0,446490.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1353000.0,2.963
2016,31.23,367.9,212205275.0,484645.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1384700.0,2.9505
2017,31.312105263157893,390.1,223895424.0,540398.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1422100.0,3.096190476
2018,31.399473684210527,390.1,234703400.0,506450.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1447000.0,2.94952381
2019,31.33736842105263,390.1,267756664.0,576793.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,1558900.0,3.048095238
1997,30.722315789473686,485.2,86890210.0,283030.0,35.79,25.9,48.71,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,913000.0,2.730588235
