Year,Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Low_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Area (ha),Yield (t/ha)
1998,4050800.0,11890.0,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,41000.0,2.54
1998,1525373.2,4477.31,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,15439.0,3.04
1999,4298265.0,10935.0,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,40500.0,2.38
1999,1720685.69,4377.51,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,16213.0,2.69
2000,4024970.0,10660.0,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,41000.0,2.36
2000,1591041.19,4213.82,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,16207.0,2.81
2001,3344348.98,8513.96,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,32746.0,2.41
2001,1699136.81,4325.62,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,16637.0,2.85
2002,3193029.76,8432.0,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,33728.0,2.67
2002,1556469.47,4110.25,25.04,45.72,29.24,36.94,44.46,41.17,21.55,76.05,7.48,16.47,0.13,46.91,52.96,92.49,7.51,63.96,36.04,98.0,2.0,76.54,23.46,59.85,16441.0,2.72
