Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,31.27870833333333,485.2,217082770.0,707110.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2281000.0,3.476470588
1998,33.19070833333333,432.6,248877200.0,730510.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2519000.0,3.099411765
1999,31.285888888888888,287.9,276362520.0,703080.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2604000.0,3.332352941
2000,30.957708333333333,326.9,256321870.0,678860.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2611000.0,3.501764706
2001,31.35879166666667,357.1,253997310.0,646620.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2487000.0,3.517058824
2002,31.79163888888889,228.5,239515100.0,632500.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2530000.0,3.438823529
2003,31.332527777777777,324.29999999999995,258733720.0,627360.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2614000.0,3.678235294
2004,31.894722222222224,234.00000000000003,303352000.0,588000.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2800000.0,3.788823529
2005,31.50420833333333,413.3,316828640.0,554820.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2642000.0,3.820588235
2006,31.809125,504.8,334727910.0,576620.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2621000.0,3.75
2007,30.989375000000003,448.6,348174000.0,417600.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2610000.0,3.968
2008,31.285222222222224,629.3999999999999,391214400.0,246150.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2735000.0,3.9855
2009,31.967125,300.1,436607640.0,476340.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2802000.0,3.9775
2010,31.998194444444444,395.1,470257410.0,679440.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2831000.0,3.834
2011,31.42784722222222,617.5,472071360.0,929940.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2818000.0,3.7495
2012,31.65655555555556,379.5,429629200.0,883190.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2849000.0,3.923636364
2013,32.043277777777774,479.69999999999993,411940990.0,769770.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2851000.0,3.834090909
2014,32.16388888888889,244.6,436878240.0,955020.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2894000.0,3.728181818
2015,32.2,336.3,469782250.0,981750.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,2975000.0,3.923181818
2016,32.14833333333333,367.9,466799500.0,1066100.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3046000.0,4.066818182
2017,32.16722222222222,390.1,482553600.0,1164700.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3065000.0,4.252727273
2018,32.105,390.1,503306600.0,1086050.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3103000.0,4.011818182
2019,32.044444444444444,390.1,539669920.0,1162540.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3142000.0,3.930909091
