Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Low_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,30.084464285714283,1266.1,544993574.6,1775223.37,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5726527.0,False,2.037
1997,28.305666666666667,144.39999999999998,628788.19,2048.17,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6607.0,True,2.202903226
1998,31.75953928571429,1892.9,580465116.4,1703794.37,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5875153.0,False,1.865060241
1998,28.7741,61.3,556145.2,1632.41,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5629.0,True,2.015172414
1999,30.23308571428571,1848.3,645251508.9,1641551.94,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6079822.0,False,1.991707317
1999,29.92,52.2,642298.76,1634.04,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6052.0,True,2.190384615
2000,29.88016785714285,1890.7000000000005,579608245.8,1535073.28,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5904128.0,False,1.894782609
2000,28.85663333333333,98.9,296767.91,785.98,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,3023.0,True,2.083181818
2001,30.09072857142857,1832.4,619775496.5,1577808.96,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6068496.0,False,2.016086957
2001,28.19282857142857,140.1,288925.77,735.54,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,2829.0,True,2.097777778
2003,30.356789285714285,2504.2000000000003,648220.02,1571.76,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6549.0,False,2.73
2003,30.356789285714285,2504.2000000000003,566158968.3,1372783.92,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5719933.0,False,2.066285714
2003,28.89879523809524,30.4,775904.22,1881.36,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,7839.0,True,2.1595
2004,30.525814285714297,1520.0,913414.54,1770.51,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,8431.0,False,3.35
2005,30.2951,1787.4,900119.52,1576.26,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,7506.0,False,2.81
2006,30.723328571428567,1289.2999999999995,942627.51,1623.82,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,7381.0,False,2.82
2006,30.723328571428567,1289.3,753818108.7,1298566.94,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5902577.0,False,1.846
2006,29.2275,98.4,2321129.25,3998.5,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18175.0,True,1.995
2007,29.986275,1388.1,759117902.6,910486.24,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5690539.0,False,1.962
2007,29.398861904761908,57.8,2514456.6,3015.84,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18849.0,True,2.152142857
2008,30.54742857142857,2284.7,859922293.4,541058.49,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,6011761.0,False,2.124428571
2008,28.06832380952381,134.20000000000002,3092667.84,1945.89,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,21621.0,True,2.095
2009,30.661889285714285,1287.4,802168527.7,875167.82,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,5148046.0,False,2.00971831
2009,28.712066666666665,74.3,3847974.9,4198.15,0.12,1.53,63.87,10.56,79.11,10.33,87.7,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,24695.0,True,2.13
