Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,22.596814814814813,115.9,40268425.57,131167.51,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,423121.0,False,False,1.837222222
1997,27.5627962962963,486.4,114853915.9,374116.99,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1206829.0,True,False,2.843888889
1997,19.91413888888889,173.89999999999998,406407115.8,1323801.68,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4270328.0,False,True,1.985555556
1998,23.12533333333333,490.7,41990197.6,123250.58,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,425002.0,False,False,1.751111111
1998,27.90787037037037,548.4,143306732.4,420637.17,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1450473.0,True,False,3.22
1998,19.89102777777778,136.60000000000002,398027656.0,1168299.8,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4028620.0,False,True,1.781666667
1999,23.804314814814816,465.7,45333960.15,115331.85,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,427155.0,False,False,1.868888889
1999,28.36935185185185,719.8,156471491.9,398071.26,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1474338.0,True,False,2.897222222
1999,20.51333333333333,20.2,450940639.0,1147215.42,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,4248946.0,False,True,1.906666667
2000,23.008796296296296,183.3,38673482.48,102425.44,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,393944.0,False,False,1.648333333
2000,28.80979629629629,780.6,137618731.0,364478.66,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1401841.0,True,False,3.021111111
2000,19.87483333333333,115.6,357293445.5,946279.88,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3639538.0,False,True,1.876111111
2001,23.086,491.80000000000007,36056792.24,91792.48,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,353048.0,False,False,2.094705882
2001,27.10162962962963,707.2,139537461.5,355230.98,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,1366273.0,True,False,2.788823529
2001,20.48755555555556,32.6,386436021.6,983779.16,21.87,15.52,32.87,41.24,25.89,0.19,24.8,75.01,96.03,3.97,63.1,36.9,98.74,1.26,75.99,24.01,39.77,60.23,3783766.0,False,True,2.235294118
