Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,14110661.29,37371.62,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,143737.0,False,0.192272727
2000,26.46145410628019,96.1,3835109.22,10157.16,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39066.0,True,0.204444444
2001,27.75952173913044,1677.9,9483893.93,24143.86,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,92861.0,False,0.168095238
2001,26.4160845410628,72.6,4031581.75,10263.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39475.0,True,0.283684211
2002,28.03126086956522,1325.7999999999995,8244336.95,21771.25,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,87085.0,False,0.128571429
2002,26.867652173913044,108.3,2655493.5,7012.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,28050.0,True,0.209444444
2003,28.460304347826085,1910.8,11334793.68,27483.84,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,114516.0,False,0.262380952
2003,26.360760869565222,126.3,4641370.16,11254.08,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,46892.0,True,0.204210526
2005,28.06011956521739,2050.8,9524526.08,16679.04,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,79424.0,False,0.205714286
2005,26.50376328502416,140.7,4471097.28,7829.64,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,37284.0,True,0.360526316
2006,28.76501086956522,1971.0,10146431.79,17478.78,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,79449.0,False,0.213809524
2006,26.26947101449275,106.4,4362956.73,7515.86,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,34163.0,True,0.311
2008,28.817478260869567,1965.8,6585704.64,4143.69,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,46041.0,False,0.2495
2008,26.540917874396133,374.0,4905699.84,3086.64,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,34296.0,True,0.252105263
2009,28.937521739130435,1461.5,7352210.88,8021.28,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,47184.0,False,0.200952381
2009,27.30935024154589,13.6,6744824.52,7358.62,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,43286.0,True,0.2655
2010,27.977663043478262,2608.3,13587798.0,19632.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,81800.0,False,0.178
2010,26.671995169082123,51.7,7171799.25,10362.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,43175.0,True,0.290526316
2011,27.69583695652173,1722.1,5557978.56,10948.74,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,33178.0,False,0.270526316
2011,26.90242270531401,46.2,6586048.8,12973.95,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39315.0,True,0.312105263
2012,28.328913043478263,2018.2,3770000.0,7750.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,25000.0,False,0.2
2012,27.089132850241544,52.400000000000006,6182800.0,12710.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,41000.0,True,0.283846154
2013,28.44332608695652,2047.2,4052222.05,7572.15,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,28045.0,False,0.409166667
2013,27.014550724637683,106.8,4780885.12,8933.76,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,33088.0,True,0.245833333
2014,28.74739130434783,1411.6,3178764.72,6948.81,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,21057.0,False,0.2475
2014,26.80463768115942,85.5,9615548.16,21019.68,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,63696.0,True,0.319166667
2015,28.68826086956522,1859.7,4431744.15,9261.45,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,28065.0,False,0.2975
2015,26.92608695652174,83.9,3958172.06,8271.78,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,25066.0,True,0.37
2016,28.707391304347823,1961.1,5127745.0,11711.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,33460.0,False,0.244166667
2016,27.209130434782608,27.700000000000003,4629376.0,10572.8,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,30208.0,True,0.271666667
2017,28.681304347826085,1841.0,2118670.08,5113.66,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,13457.0,False,0.222307692
2017,26.97188405797101,38.8,4137680.64,9986.78,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,26281.0,True,0.325
2018,28.38086956521739,1841.0,2692195.6,5809.3,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,16598.0,False,0.234166667
2018,26.912173913043475,38.8,5046690.8,10889.9,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,31114.0,True,0.3
2019,28.695652173913043,1841.0,1064396.72,2292.89,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6197.0,False,0.286
2019,26.943188405797105,38.8,5666190.64,12205.93,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,32989.0,True,0.333076923
1997,28.508206521739133,1631.1,5243867.0,17081.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,55100.0,False,0.181333333
1997,26.713014492753626,118.9,7918144.0,25792.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,83200.0,True,0.109375
1998,28.9921195652174,2317.2,4791800.0,14065.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,48500.0,False,0.191666667
1998,26.433572463768115,123.2,10937160.0,32103.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,110700.0,True,0.242
2004,28.64654347826087,1420.1999999999998,18358971.38,35585.97,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,169457.0,False,0.1885
2004,26.405787439613523,136.0,4314857.18,8363.67,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39827.0,True,0.3595
2007,28.261532608695653,2337.6,10938800.0,13120.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,82000.0,False,0.177857143
2007,26.76317149758454,5.899999999999999,4135400.0,4960.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,31000.0,True,0.244545455
2013,28.44332608695652,2047.2000000000005,825471.37,1542.51,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5713.0,False,0.242857143
2013,27.014550724637683,106.8,2670753.16,4990.68,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,18484.0,True,0.392857143
2014,28.74739130434783,1411.6,827260.8,1808.4,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,5480.0,False,0.20125
