Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,28132252.0,91636.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,295600.0,False,True,0.635294118
1998,29.63939285714285,1381.9,29709160.0,87203.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,300700.0,False,False,0.542352941
1999,28.471535714285714,633.9,31870839.0,81081.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,300300.0,False,False,0.406470588
2000,27.80692857142857,791.3,35036873.0,92794.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,356900.0,False,False,0.307647059
2001,27.75467857142857,1313.0,38768548.0,98696.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,379600.0,False,False,0.582941176
2002,28.211273809523806,939.2,32575947.0,86025.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,344100.0,False,False,0.396470588
2003,28.348130952380952,1834.9,39829552.0,96576.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,402400.0,False,False,0.588181818
2004,28.65139285714286,1428.0,40291646.0,78099.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,371900.0,False,False,0.324090909
2005,27.521297619047623,1944.0,43650880.0,76440.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,364000.0,False,False,0.412727273
2006,29.02797619047619,2162.5,41991048.0,72336.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,328800.0,False,False,0.248571429
2007,28.10422619047619,2062.5,39966640.0,47936.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,299600.0,False,False,0.460454545
2008,27.914571428571428,1486.9,34115040.0,21465.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,238500.0,False,False,0.342857143
2009,28.537261904761905,1197.6999999999998,35199738.0,38403.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,225900.0,False,False,0.364
2010,27.948678571428577,2078.9,35514318.0,51312.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,213800.0,False,False,0.430454545
2010,28.75734920634921,0.1,12491472.0,18048.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,75200.0,True,False,0.616153846
2011,28.195857142857147,1629.4,29433264.0,57981.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,175700.0,False,False,0.519565217
2011,28.56006349206349,0.0,11860416.0,23364.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,70800.0,True,False,0.463636364
2012,27.55394047619048,1026.8000000000002,18955560.0,38967.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,125700.0,False,False,1.284761905
2012,28.65612698412698,0.3,542880.0,1116.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3600.0,True,False,69.36666667
2013,28.097369047619047,1701.9,15759813.28,29449.44,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,109072.0,False,False,0.470833333
2013,29.39714285714286,13.2,11338708.26,21187.98,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,78474.0,True,False,0.44
2014,28.582857142857144,1065.8000000000002,20718807.12,45291.51,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,137247.0,False,False,0.553
2014,28.82238095238095,4.9,8046318.96,17589.33,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,53301.0,True,False,0.470740741
2015,28.56,1036.0,24091539.15,50346.45,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,152565.0,False,False,0.353666667
2015,28.81142857142857,9.3,1692163.56,3536.28,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,10716.0,True,False,0.471818182
2016,28.60142857142857,1113.7,19755457.5,45118.5,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,128910.0,False,False,0.540689655
2016,29.20619047619048,1.5,3066072.75,7002.45,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,20007.0,True,False,0.673333333
2017,28.55952380952381,1643.4,16966206.72,40949.94,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,107763.0,False,False,0.60862069
2017,29.123809523809523,0.3,2398283.52,5788.54,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,15233.0,True,False,0.71875
2018,27.940952380952385,1643.4,12993193.2,28037.1,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,80106.0,False,False,0.4725
2018,29.123809523809523,0.3,2857964.0,6167.0,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,17620.0,True,False,0.5156
2019,28.38047619047619,1643.4,18886386.08,40684.46,29.91,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,109958.0,False,False,0.507931034
