Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,27.97224444444445,1968.7,15960009.0,51987.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,167700.0,False,0.295526316
1998,29.576200000000004,1758.9,15985840.0,46922.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,161800.0,False,0.257413793
1999,28.6047,2267.2,16933572.15,43079.85,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,159555.0,False,0.246440678
2000,28.06177222222222,1446.5,14093776.05,37326.9,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,143565.0,False,0.3
2001,27.420272222222223,1717.4,13461040.39,34268.78,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,131803.0,False,0.321136364
2002,28.52985555555556,1506.6,11953791.56,31567.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,126268.0,False,0.279111111
2003,28.91477222222222,2269.3,14261038.4,34579.2,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,144080.0,False,0.432916667
2004,28.54101111111111,1679.5,17384669.76,33697.44,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,160464.0,False,0.466666667
2005,27.47826111111112,1928.6,22076072.8,38658.9,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,184090.0,False,0.399791667
2006,25.93145,2112.6,31510271.43,54281.26,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,246733.0,True,0.337291667
