Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_High_%,Organic_Carbon_Low_%,pH_Acidic_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Kharif     ,Season_Rabi       ,Season_Summer     ,Season_Winter     ,Yield (t/ha)
1997,22.577044444444443,64.4,693408.62,2258.66,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,7286.0,False,False,False,False,0.212352941
1997,28.20156666666667,110.8,1532808.02,4992.86,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,16106.0,False,False,True,False,0.259583333
1997,20.91443333333333,81.99999999999999,4620598.67,15050.81,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,48551.0,False,False,False,True,0.17
1999,27.3288,1085.4,21544390.0,54810.0,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,203000.0,True,False,False,False,0.362857143
1999,24.27021851851852,1.7,7851497.4,19974.6,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,73980.0,False,True,False,False,0.372857143
2000,27.673191666666664,937.6,4957781.34,13130.52,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,50502.0,True,False,False,False,0.182
2001,27.430825,1433.2,5267150.49,13408.98,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,51573.0,True,False,False,False,0.225
2002,27.959125,930.3,4115399.57,10867.75,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,43471.0,True,False,False,False,0.203448276
2003,27.854325000000003,1235.8,3733129.68,9051.84,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,37716.0,True,False,False,False,0.219333333
2019,23.249,191.1,332355.6,715.95,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,1935.0,False,False,False,False,0.428333333
2019,29.758666666666667,63.900000000000006,447091.28,963.11,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,2603.0,False,False,True,False,0.293333333
2019,22.11466666666667,6.5,1624334.32,3499.09,3.1,27.85,39.66,29.09,42.16,39.6,93.95,6.05,80.38,19.62,95.99,4.01,60.93,39.07,40.82,59.18,9457.0,False,False,False,True,0.2275
