Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,Sulphur_Sufficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Season_Whole Year ,Season_Winter     ,Yield (t/ha)
1997,25.32285648148148,4209.1,12173480.21,39653.03,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,127913.0,False,True,False,0.649444444
1998,25.629986111111112,5287.8,9921990.0,29123.25,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,100425.0,False,True,False,0.741111111
1999,23.804314814814816,465.7,94561.83,240.57,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,891.0,False,False,False,0.377777778
1999,28.36935185185185,719.8,10829929.72,27551.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,102044.0,True,False,False,0.638235294
1999,20.51333333333333,20.2,266386.3,677.7,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,2510.0,False,False,True,0.5425
2000,25.749777777777776,4480.1,10519995.37,27861.86,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,107161.0,False,True,False,0.736111111
2001,25.545435185185184,4153.2,11086926.41,28224.82,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,108557.0,False,True,False,0.725555556
2002,22.628370370370373,206.8,99308.83,262.25,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1049.0,False,False,False,0.511428571
2002,28.636351851851853,610.3,10139630.35,26776.25,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,107105.0,True,False,False,0.773888889
2002,20.054861111111112,78.80000000000001,263371.94,695.5,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,2782.0,False,False,True,0.58
2003,25.559870370370373,4220.0,16167096.26,39200.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,163337.0,False,True,False,0.763333333
2005,25.68516203703704,4412.6,17823469.76,31211.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,148628.0,False,True,False,0.854705882
2006,25.68178703703704,3922.6,25591679.19,44085.58,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,200389.0,False,True,False,0.905555556
2007,22.90953703703704,168.7,145806.2,174.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1093.0,False,False,False,0.640769231
2007,28.67757407407408,512.6,26805529.4,32150.56,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,200941.0,True,False,False,0.807058824
2007,19.71252777777778,146.29999999999998,142471.2,170.88,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1068.0,False,False,True,0.559090909
2008,23.05603703703704,187.1,163494.72,102.87,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1143.0,False,False,False,0.658333333
2008,28.111833333333337,450.4,28680378.24,18045.54,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,200506.0,True,False,False,0.773529412
2008,18.997777777777777,126.8,178084.8,112.05,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1245.0,False,False,True,0.541
2004,25.58669907407408,4284.1,16063246.78,31136.07,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,148267.0,False,True,False,0.761764706
2009,24.041962962962963,330.9,162208.62,176.97,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1041.0,False,False,False,0.6125
2009,27.99712962962963,655.5,28601228.46,31204.01,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,183553.0,True,False,False,0.804705882
2009,19.558055555555555,56.0,201319.44,219.64,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1292.0,False,False,True,0.56
2010,23.63853703703704,176.60000000000002,175578.27,253.68,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1057.0,False,False,False,0.605454545
2010,29.536388888888887,655.9,29970562.86,43302.24,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,180426.0,True,False,False,0.824375
2010,20.707194444444447,67.60000000000001,220427.97,318.48,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1327.0,False,False,True,0.584
2011,23.34127777777778,111.6,158138.88,311.52,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,944.0,False,False,False,0.563
2011,28.271,590.4,30168676.8,59429.7,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,180090.0,True,False,False,0.814705882
2011,19.87061111111111,39.3,181926.72,358.38,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1086.0,False,False,True,0.569
2012,23.964,243.1,176737.6,363.32,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1172.0,False,False,False,0.596
2012,28.7445,464.1,29276010.4,60182.78,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,194138.0,True,False,False,0.845294118
2012,20.06,117.20000000000002,155324.0,319.3,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1030.0,False,False,True,0.68125
2013,23.22338888888889,569.1,153881.85,287.55,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1065.0,False,False,False,0.697777778
2013,28.76033333333333,652.7,30506318.19,57005.37,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,211131.0,True,False,False,0.872352941
2013,20.551277777777777,41.8,149836.13,279.99,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1037.0,False,False,True,0.668571429
2014,23.278888888888886,93.5,168622.32,368.61,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,1117.0,False,False,False,0.665
2014,28.45555555555556,482.8,33549199.44,73338.87,4.69,31.8,70.39,21.87,54.72,32.87,41.24,0.19,24.8,75.01,96.03,63.1,98.74,1.26,75.99,24.01,60.23,222239.0,True,False,False,0.887647059
