Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,27.97224444444445,1968.7,425371832.0,1385576.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4469600.0,False,0.969772727
1998,29.576200000000004,1758.9,453353680.0,1330694.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4588600.0,False,0.825961538
1999,28.6047,2267.2,447293057.0,1137935.79,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4214577.0,False,0.910350877
2000,28.06177222222222,1446.5,438002732.9,1160035.76,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4461676.0,False,0.719777778
2001,27.420272222222223,1717.4,453035198.8,1153325.68,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4435868.0,False,0.862222222
2002,28.52985555555556,1506.6,395412354.5,1044186.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4176744.0,False,0.635555556
2003,28.91477222222222,2269.3,415579308.6,1007668.56,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4198619.0,False,1.019791667
2004,28.54101111111111,1679.5,496246819.7,961896.18,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4580458.0,False,0.821875
2005,27.47826111111112,1928.6,548779822.7,961005.36,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4576216.0,False,0.936875
2006,29.228372222222223,1906.0,599112513.5,1032062.9,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4691195.0,False,0.875833333
2007,28.616983333333334,1339.7000000000005,692069595.2,830068.48,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,5187928.0,False,0.857708333
2008,28.169416666666667,1723.6,755442444.5,475320.33,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,5281337.0,False,0.978163265
