Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,25.87328947368421,588.6,12653711.2,37141.46,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,128074.0,51.58421053
1999,25.450473684210525,364.4,14507546.48,36907.92,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,136696.0,44.50210526
2000,24.57734649122807,405.3,14041255.1,37187.8,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,143030.0,49.43
2001,24.798390350877195,441.0,16461721.92,41907.84,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,161184.0,47.62210526
2002,24.89380263157895,274.7,17893576.7,47252.5,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,189010.0,48.52888889
2003,24.7753201754386,424.6,15862237.86,38461.68,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,160257.0,50.10277778
2004,25.149144736842107,351.7,14413770.28,27938.82,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,133042.0,49.24888889
2005,25.01792543859649,552.0,15496422.16,27136.83,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,129223.0,49.81526316
2006,25.09151754385965,647.7,17951300.73,30923.86,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,140563.0,56.0355
2007,24.74755701754386,594.8,18724691.0,22458.4,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,140365.0,50.77
2008,23.947802631578945,717.1,13008200.64,8184.69,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,90941.0,49.621
2009,25.02313596491228,361.2,12336425.22,13459.07,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,79171.0,47.4235
2010,25.69938596491228,451.5,14039118.87,20284.08,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,84517.0,5.022
2011,25.325504385964912,705.2,15896307.84,31314.36,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,94892.0,5.534761905
2012,25.333521929824563,493.6,15228688.8,31305.66,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,100986.0,61.4215
2013,25.65061842105263,586.6,14593490.0,27270.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,101000.0,74.98714286
2014,25.47421052631579,382.7,14341200.0,31350.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,95000.0,72.15153846
