Year,Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,130416.0,382.8,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1320.0,48.48
1999,141683.55,360.45,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1335.0,51.27
2000,122712.5,325.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1250.0,58.2
2001,123066.65,313.3,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1205.0,58.56
2002,112467.96,297.0,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1188.0,55.11
2003,119765.8,290.4,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1210.0,47.61
2013,125995.28,235.44,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,872.0,48.06
2014,121975.68,266.64,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,808.0,54.35
2015,179859.49,375.87,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,1139.0,53.265
2016,137465.25,313.95,25.04,45.72,29.24,36.94,18.6,44.46,37.28,41.17,21.55,7.48,16.47,0.13,46.91,52.96,92.49,7.51,36.04,98.0,2.0,76.54,23.46,40.15,897.0,41.525
