Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Whole Year ,Yield (t/ha)
2000,27.72907608695652,2266.1,19365112.37,51287.86,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,197261.0,False,False,1.038421053
2001,27.75952173913044,1677.9,27331315.69,69579.38,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,267613.0,False,False,0.986111111
2002,28.03126086956522,1325.7999999999995,39437533.93,104144.75,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,416579.0,False,False,0.9025
2003,28.460304347826085,1910.8,48575127.86,117781.68,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,490757.0,False,False,1.057142857
2005,27.189478260869564,3451.1,53276138.88,93295.44,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,444264.0,False,True,0.931363636
2006,27.313822463768112,2850.7,56919453.03,98052.46,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,445693.0,False,True,0.896363636
2008,27.530304347826085,2940.8,59867818.56,37668.51,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,418539.0,False,True,1.032727273
2009,27.989282608695653,2145.0,54618493.86,59588.91,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,350523.0,False,True,0.929090909
2010,27.297634057971017,3952.3,37434715.71,54086.64,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,225361.0,False,True,1.032272727
2011,27.327829710144925,2353.0,26390263.2,51986.55,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,157535.0,False,True,0.978181818
2012,28.328913043478263,2018.2,2865200.0,5890.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19000.0,False,False,0.763333333
2012,27.089132850241544,52.400000000000006,18548400.0,38130.0,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,123000.0,True,False,0.758333333
2013,28.44332608695652,2047.2,2575967.72,4813.56,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,17828.0,False,False,0.764285714
2013,27.014550724637683,106.8,8976007.78,16772.94,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,62122.0,True,False,0.989230769
2014,28.74739130434783,1411.6,1664786.88,3639.24,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,11028.0,False,False,0.811428571
2014,26.80463768115942,85.5,5889100.56,12873.63,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,39011.0,True,False,0.924615385
2015,28.68826086956522,1859.7,1037152.88,2167.44,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,6568.0,False,False,0.965
2015,26.92608695652174,83.9,3114774.75,6509.25,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19725.0,True,False,0.9525
2016,28.707391304347823,1961.1,1306609.5,2984.1,23.8,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,8526.0,False,False,0.861666667
