Year,Fertilizer (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Yield (t/ha)
1997,12645713.75,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,22.80357143
1998,64121.2,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,20.0
1998,11142071.2,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,25.51785714
1999,11878281.86,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,24.25785714
1999,38737.45,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,18.29
2000,11251165.53,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,24.29642857
2000,33574.14,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,18.69
2001,11355732.57,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,23.09642857
2001,47388.32,0.03,0.57,99.4,41.07,30.01,28.91,14.29,37.64,48.07,65.56,32.45,1.99,2.5,94.87,90.43,9.57,0.0,0.0,91.67,8.33,95.24,4.76,0.0,0.0,21.5
2002,9862625.93,0.09,0.75,99.16,35.32,43.85,20.83,46.39,42.42,11.19,3.11,9.01,87.88,4.86,92.5,98.11,1.89,66.46,33.54,60.81,39.19,56.4,43.6,56.01,43.99,24.47785714
