Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Phosphorus_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Whole Year ,Yield (t/ha)
2000,27.074336956521737,2941.6,12383556.48,32797.44,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,126144.0,False,True,3.364285714
2001,27.01032608695652,2856.1,19296033.68,49123.36,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,188936.0,False,True,2.97047619
2002,27.409550724637683,2083.7,16435848.04,43403.0,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,173612.0,False,True,3.58547619
2003,27.27175362318841,2785.5,18908149.4,45847.2,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,191030.0,False,True,3.782439024
2005,27.189478260869564,3451.1,24503013.76,42908.88,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,204328.0,False,True,4.374418605
2006,27.313822463768112,2850.7,24497587.62,42200.84,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,191822.0,False,True,4.163571429
2008,27.530304347826085,2940.8,33291272.64,20946.69,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,232741.0,False,True,4.74097561
2009,27.989282608695653,2145.0,40261706.52,43925.62,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,258386.0,False,True,4.295121951
2010,27.297634057971017,3952.3,37629562.74,54368.16,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,226534.0,False,True,4.380465116
2011,27.327829710144925,2353.0,35760829.44,70445.76,23.8,32.59,17.89,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,213472.0,False,True,4.583953488
