Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Season_Whole Year ,Yield (t/ha)
1997,26.151968253968253,1669.1,10563870.0,34410.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,111000.0,False,True,1.6025
1998,27.16711507936508,1636.9,10245560.0,30073.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,103700.0,False,True,1.80125
1999,26.65183333333333,949.1,11737978.0,29862.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,110600.0,False,True,1.868571429
2000,25.985801587301587,836.7,8619326.0,22828.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,87800.0,False,True,1.51375
2001,26.04919047619048,1359.2,8732115.0,22230.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,85500.0,False,True,1.545714286
2002,26.057559523809523,945.3,6286088.0,16600.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,66400.0,False,True,1.61
2003,25.966123015873016,1846.5,6750436.0,16368.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,68200.0,False,True,1.79
2004,26.61101587301588,1488.0,7724642.0,14973.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,71300.0,False,True,1.625714286
2005,26.028436507936508,1948.0,7806792.0,13671.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65100.0,False,True,1.41
2006,26.40084523809524,2179.8,7279470.0,12540.0,19.62,16.35,29.91,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,57000.0,False,True,1.7225
