Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Low_%,Potassium_High_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,25.62429513888889,6229.2,413228.14,1346.02,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4342.0,4.452941176
1998,25.59780902777778,5673.7,494691.6,1452.03,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5007.0,4.682380952
2000,25.198211805555555,5270.9,908170.67,2405.26,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,9251.0,4.298095238
2001,25.10689236111111,4635.9,720833.54,1835.08,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7058.0,4.797272727
2003,25.25296875,4308.2,535481.8,1298.4,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,5410.0,4.343809524
2004,25.26332986111112,4845.3,442027.2,856.8,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,4080.0,4.482857143
2005,25.15569444444445,5597.7,761012.32,1332.66,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6346.0,5.556363636
2006,25.54274652777778,5518.4,954887.67,1644.94,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,7477.0,4.7735
2007,25.526805555555555,5928.1,1800900.0,2160.0,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,13500.0,7.861111111
2008,25.61801388888889,5059.4,2025303.36,1274.31,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,14159.0,4.191052632
2009,25.889229166666667,5933.9,2784970.86,3038.41,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,17873.0,4.762941176
2010,25.31106944444444,5779.700000000001,2352449.82,3398.88,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,14162.0,4.3825
2011,25.291402777777776,5651.2,4275948.0,8423.25,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,25525.0,4.57875
2012,25.613322916666664,4924.530000000001,2968950.4,6103.28,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,19688.0,4.742173913
2013,25.78820486111111,6063.299999999999,1929808.44,3606.12,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,13356.0,4.687
2014,25.58458333333333,5625.4,1935911.04,4231.92,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,12824.0,5.373684211
2015,25.677916666666665,4770.4,2367702.54,4948.02,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,14994.0,4.693888889
2016,25.85708333333333,3932.0,2961862.75,6764.45,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,19327.0,5.775294118
2017,25.77208333333333,4748.9,3044732.16,7348.82,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,19339.0,6.2215
2018,25.796666666666667,4748.9,4311113.8,9302.65,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,26579.0,5.617142857
2019,25.646666666666665,4748.9,3562302.4,7673.8,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,20740.0,6.133571429
1999,25.515954861111112,5590.3,711495.52,1810.08,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6704.0,4.19
2002,25.37409027777778,4079.4,624443.32,1649.0,6.82,64.05,40.78,12.48,22.35,29.66,47.99,2.85,7.23,89.92,91.37,8.63,69.91,30.09,48.88,51.12,45.24,54.76,42.46,57.54,6596.0,4.04952381
