Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2000,27.72907608695652,2266.1,9760355.91,25849.98,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,99423.0,False,0.1615
2000,26.46145410628019,96.1,44752168.88,118524.64,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,455864.0,True,0.655454545
2001,27.75952173913044,1677.9,10934139.93,27835.86,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,107061.0,False,0.388095238
2001,26.4160845410628,72.6,53090340.03,135156.06,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,519831.0,True,0.439545455
2002,28.03126086956522,1325.7999999999995,10428847.2,27540.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,110160.0,False,0.240454545
2002,26.867652173913044,108.3,55312935.57,146067.75,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,584271.0,True,0.386666667
2003,28.460304347826085,1910.8,9448036.92,22908.96,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,95454.0,False,0.656363636
2003,26.360760869565222,126.3,33957860.44,82338.72,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,343078.0,True,0.408
2005,28.06011956521739,2050.8,9498383.52,16633.26,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,79206.0,False,0.384761905
2005,26.50376328502416,140.7,40992493.44,71784.72,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,341832.0,True,0.621052632
2006,28.76501086956522,1971.0,10474135.65,18043.3,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,82015.0,False,0.339473684
2006,26.26947101449275,106.4,53090068.68,91455.76,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,415708.0,True,0.793636364
2008,28.817478260869567,1965.8,9871905.6,6211.35,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,69015.0,False,0.460526316
2008,26.540917874396133,374.0,38529254.4,24242.4,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,269360.0,True,0.62
2009,28.937521739130435,1461.5,12923710.8,14099.8,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,82940.0,False,0.2605
2009,27.30935024154589,13.6,53941455.96,58850.26,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,346178.0,True,0.640952381
2010,27.977663043478262,2608.3,13673676.87,19756.08,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,82317.0,False,0.472857143
2010,26.671995169082123,51.7,63375782.19,91566.96,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,381529.0,True,0.573809524
2011,27.69583695652173,1722.1,10481893.92,20648.43,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,62571.0,False,0.598095238
2011,26.90242270531401,46.2,79930325.28,157455.87,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,477139.0,True,0.5575
2012,28.328913043478263,2018.2,8595600.0,17670.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,57000.0,False,0.830666667
2012,27.089132850241544,52.400000000000006,58359600.0,119970.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,387000.0,True,0.693333333
2013,28.44332608695652,2047.2,2096260.92,3917.16,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,14508.0,False,0.724615385
2013,27.014550724637683,106.8,36160789.85,67571.55,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,250265.0,True,0.759230769
2014,28.74739130434783,1411.6,2932247.04,6409.92,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,19424.0,False,1.113076923
2014,26.80463768115942,85.5,44746657.44,97816.62,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,296414.0,True,0.948461538
2015,28.68826086956522,1859.7,6950566.56,14525.28,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,44016.0,False,0.786153846
2015,26.92608695652174,83.9,64993545.26,135823.38,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,411586.0,True,0.8
2016,28.707391304347823,1961.1,9143048.25,20881.35,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,59661.0,False,0.792307692
2016,27.209130434782608,27.700000000000003,67405633.25,153944.35,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,439841.0,True,0.64
2017,28.681304347826085,1841.0,7210437.12,17403.24,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,45798.0,False,0.87
2017,26.97188405797101,38.8,56275668.48,135827.96,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,357442.0,True,0.911538462
2018,28.38086956521739,1841.0,3627440.8,7827.4,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,22364.0,False,0.754615385
2018,26.912173913043475,38.8,47954592.2,103477.85,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,295651.0,True,0.782307692
2019,28.695652173913043,1841.0,2617965.92,5639.54,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,15242.0,False,0.834615385
2019,26.943188405797105,38.8,49454685.04,106533.73,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,287929.0,True,0.944615385
1997,28.508206521739133,1631.1,8413028.0,27404.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,88400.0,False,0.2525
1997,26.713014492753626,118.9,39305210.0,128030.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,413000.0,True,0.388125
1998,28.9921195652174,2317.2,7459400.0,21895.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,75500.0,False,0.658823529
1998,26.433572463768115,123.2,35054240.0,102892.0,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,354800.0,True,0.544117647
