Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Summer     ,Yield (t/ha)
1997,28.006107142857143,1644.9,12505338.0,40734.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,131400.0,False,0.654705882
1998,29.63939285714285,1381.9,12369760.0,36308.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,125200.0,False,0.592941176
1999,28.471535714285714,633.9,11600009.0,29511.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,109300.0,False,0.32625
2000,27.80692857142857,791.3,8246280.0,21840.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,84000.0,False,0.32875
2001,27.75467857142857,1313.0,11612181.0,29562.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,113700.0,False,0.608888889
2002,28.211273809523806,939.2,11511872.0,30400.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,121600.0,False,0.396111111
2003,28.348130952380952,1834.9,10640350.0,25800.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,107500.0,False,0.666521739
2004,28.65139285714286,1428.0,10400640.0,20160.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,96000.0,False,0.5316
2005,27.521297619047623,1944.0,11116584.0,19467.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,92700.0,False,0.733913043
2006,29.02797619047619,2162.5,11430045.0,19690.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,89500.0,False,0.510833333
2007,28.10422619047619,2062.5,13900280.0,16672.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,104200.0,False,0.6992
2008,27.914571428571428,1486.9,13660320.0,8595.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,95500.0,False,0.6692
2009,28.537261904761905,1197.6999999999998,15254778.0,16643.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,97900.0,False,0.610384615
2010,27.948678571428577,2078.9,16959831.0,24504.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,102100.0,False,0.672307692
2010,28.75734920634921,0.1,1162770.0,1680.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,7000.0,True,0.7625
2011,28.195857142857147,1629.4,16115424.0,31746.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,96200.0,False,0.7364
2011,28.56006349206349,0.0,1172640.0,2310.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,7000.0,True,0.79
2012,27.55394047619048,1026.8000000000002,14235520.0,29264.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,94400.0,False,0.579583333
2012,28.65612698412698,0.3,60320.0,124.0,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,400.0,True,1.25
2013,28.097369047619047,1701.9,12485814.37,23331.51,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,86413.0,False,0.6348
2013,29.39714285714286,13.2,181045.97,338.31,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1253.0,True,0.58
2014,28.582857142857144,1065.8000000000002,10240371.6,22385.55,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,67835.0,False,0.735625
2014,28.82238095238095,4.9,203946.96,445.83,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,1351.0,True,0.715
2015,28.56,1036.0,10299048.11,21522.93,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,65221.0,False,0.6328125
2015,28.81142857142857,9.3,450359.32,941.16,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,2852.0,True,0.733333333
2016,28.60142857142857,1113.7,29659851.75,67738.65,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,193539.0,False,0.6584375
2016,29.20619047619048,1.5,584189.0,1334.2,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3812.0,True,0.805833333
2017,28.55952380952381,1643.4,20161608.96,48662.42,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,128059.0,False,0.6625
2017,29.123809523809523,0.3,1242201.6,2998.2,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,7890.0,True,0.815625
2018,27.940952380952385,1643.4,17218503.2,37154.6,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,106156.0,False,0.646875
2018,29.123809523809523,0.3,615549.0,1328.25,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,3795.0,True,1.45875
2019,28.38047619047619,1643.4,14851915.44,31993.53,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,86469.0,False,0.700625
2019,29.155238095238094,0.3,2311202.56,4978.72,19.62,16.35,3.0,31.21,34.35,34.44,2.26,0.07,97.67,89.37,10.63,76.72,23.28,71.86,28.14,64.02,35.98,52.47,47.53,13456.0,True,1.580625
