Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_High_%,Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_Medium_%,Potassium_Medium_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.368800925925925,14.5,196774443.7,640959.1,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2067610.0,1.811090909
1998,22.896970679012345,43.2,209587898.0,615187.15,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2121335.0,1.889272727
1999,23.445368827160493,0.7000000000000001,220840292.1,561828.69,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2080847.0,2.113513514
2000,22.821478395061728,16.2,202950080.6,537506.58,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2067333.0,2.073513514
2001,22.620851851851853,4.5,222800986.6,567201.18,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2181543.0,1.977567568
2002,22.94225,26.9,201735427.1,532733.25,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2130933.0,1.844054054
2003,22.37628703703704,63.10000000000001,205565524.2,498441.36,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2076839.0,1.747105263
2004,23.10679783950617,27.0,219674842.6,425805.03,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2027643.0,1.569473684
2005,23.009175925925927,40.3,240052378.3,420371.91,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2001771.0,1.349736842
2006,22.995984567901235,2.0,265218805.2,456879.94,0.66,38.27,61.07,22.4,71.31,52.51,31.86,2.3,2.08,95.62,99.04,0.96,78.65,21.35,92.94,7.06,76.28,23.72,65.34,34.66,2076727.0,1.924324324
