Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_High_%,Phosphorus_Medium_%,Phosphorus_Low_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1998,21.69436842105263,84.1,215943405.6,633841.98,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2185662.0,3.825789474
1999,22.332836257309943,53.3,245853435.0,625463.37,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2316531.0,4.054210526
2000,20.876166666666663,58.9,231168654.4,612242.54,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2354779.0,3.990526316
2001,21.29654970760234,16.3,234886335.9,597967.76,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2299876.0,3.979473684
2002,21.03970760233918,15.8,214630143.8,566785.0,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2267140.0,3.947894737
2003,21.112587719298244,86.4,229187794.1,555719.04,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2315496.0,3.825789474
2004,21.639365497076025,38.1,250988461.2,486501.54,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2316674.0,3.774736842
2005,21.56544736842105,124.7,276137625.4,483563.22,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2302682.0,3.6065
2006,21.34104678362573,64.8,303575226.6,522954.74,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2377067.0,4.062
2007,21.33459064327485,118.2,328254712.0,393708.8,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2460680.0,4.036
2008,20.0906783625731,16.1,352081516.8,221527.8,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2461420.0,4.437142857
2009,21.27333625730994,34.3,387642139.9,422918.52,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2487756.0,4.133809524
2010,22.151619883040933,19.5,415933293.9,600951.12,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2503963.0,4.483333333
2011,21.87473976608187,47.3,424043711.0,835329.66,38.31,35.79,25.9,25.04,4.29,18.98,76.74,6.25,0.11,93.64,92.85,7.15,90.51,9.49,71.49,28.51,79.91,20.09,29.92,70.08,2531302.0,5.031904762
