Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Nitrogen_Low_%,Phosphorus_High_%,Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Whole Year ,Yield (t/ha)
1997,23.78636049382716,8.3,428988292.0,1397356.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4507600.0,False,1.475681818
1998,24.09007160493827,71.5,452296520.0,1327591.0,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4577900.0,False,1.618983051
1999,24.648112345679014,54.6,494727542.1,1258611.48,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4661524.0,False,1.877777778
2000,23.87493703703704,8.805,323874610.4,857771.2,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,3299120.0,False,1.499333333
2001,24.12372962962964,8.7,377034035.9,959843.82,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,3691707.0,False,1.654888889
2002,24.057007407407408,54.2,318988766.3,842370.25,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,3369481.0,False,1.500666667
2003,23.888262962962965,84.80000000000001,403736846.5,978953.76,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4078974.0,False,1.797916667
2004,24.124056790123458,37.0,453754788.3,879532.08,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4188248.0,False,1.7075
2005,24.1851987654321,102.3,452411990.8,792249.15,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,3772615.0,False,1.647083333
2006,23.66238765432099,94.6,544348805.2,937724.04,28.92,70.33,24.2,64.03,42.4,52.83,4.77,41.9,25.76,90.89,9.11,80.56,19.44,75.64,24.36,55.52,44.48,73.15,26.85,4262382.0,False,1.73125
