Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_Medium_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,20.03092283950617,28.8,314061000.0,1023000.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3300000.0,3.781176471
1998,20.89696604938272,84.1,329794400.0,968020.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3338000.0,4.298823529
1999,21.61422222222222,53.3,359568440.0,914760.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3388000.0,4.651764706
2000,20.22605864197531,58.9,334563360.0,886080.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3408000.0,4.503529412
2001,20.77740740740741,16.3,349284600.0,889200.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3420000.0,4.487058824
2002,20.37681172839506,15.8,319511250.0,843750.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3375000.0,4.13
2003,20.71162654320988,86.4,340887120.0,826560.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3444000.0,4.166470588
2004,21.19194135802469,38.1,377239880.0,731220.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3482000.0,4.178823529
2005,21.1421512345679,124.7,415882560.0,728280.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3468000.0,4.145294118
2006,20.821453703703707,64.8,442770570.0,762740.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3467000.0,4.148421053
2007,20.968163580246912,118.2,465299200.0,558080.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3488000.0,4.4775
2008,19.8970925925926,16.1,495776640.0,311940.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3466000.0,4.5035
2009,20.91273765432099,34.3,548798040.0,598740.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3522000.0,4.3205
2010,21.990407407407407,19.5,583046100.0,842400.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3510000.0,4.6485
2011,21.622966049382715,47.3,591010560.0,1164240.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3528000.0,5.0675
2012,21.6478024691358,67.7,530363600.0,1090270.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3517000.0,4.677272727
2013,21.746996913580247,71.0,507448880.0,948240.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3512000.0,4.936818182
2014,21.37555555555556,72.2,529114800.0,1156650.0,9.04,35.18,20.07,69.82,13.23,46.08,40.7,9.26,0.06,90.68,97.28,2.72,82.6,17.4,82.58,17.42,88.7,11.3,85.49,14.51,3505000.0,4.174090909
