Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Phosphorus_Medium_%,Potassium_High_%,Potassium_Medium_%,Potassium_Low_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Yield (t/ha)
1997,22.069349206349205,37.3,871084157.8,2837407.68,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9152928.0,2.416
1998,22.6921873015873,117.6,920608915.2,2702192.16,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9317904.0,2.37373494
1999,23.25118888888889,69.7,995698712.1,2533107.06,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9381878.0,2.636419753
2000,22.119425396825395,91.8,907023160.9,2402220.86,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9239311.0,2.68057971
2001,22.475065873015875,41.4,945308845.8,2406543.62,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9255937.0,2.729565217
2003,22.219519841269847,163.40000000000003,1877947.54,4553.52,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18973.0,4.37
2003,22.219519841269843,163.4,934678433.9,2266344.96,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9443104.0,2.767428571
2004,22.55540634920635,71.6,2025416.3,3925.95,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18695.0,4.32
2005,22.78578095238095,168.40000000000003,2192017.68,3838.59,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18279.0,4.34
2006,22.58660555555556,64.20000000000002,2283965.64,3934.48,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,17884.0,4.36
2006,22.58660555555556,64.2,1174630860.0,2023481.24,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9197642.0,2.725428571
2007,22.48734285714286,293.8,1215924992.0,1458380.8,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9114880.0,2.723571429
2008,21.62015873015873,10.2,1360745099.0,856173.51,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9513039.0,2.959857143
2009,22.56987063492064,24.0,1506491445.0,1643585.84,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9668152.0,2.80915493
2010,23.403861904761907,44.8,1600725659.0,2312769.6,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9636540.0,3.077222222
2011,23.06541349206349,55.99999999999999,1630162248.0,3211279.5,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9731150.0,3.253333333
2012,22.898169841269844,49.4,1467829444.0,3017421.27,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9733617.0,3.2492
2013,23.03207936507937,240.40000000000003,1421665575.0,2656583.19,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9839197.0,3.2156
2014,22.787571428571425,246.0,1486422507.0,3249333.78,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9846466.0,2.065466667
2015,22.884714285714285,278.7,1523016369.0,3182796.54,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9644838.0,2.768
2016,22.808761904761905,52.400000000000006,1514862917.0,3459719.55,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9884913.0,3.558666667
2017,23.13619047619048,87.4,1535503031.0,3706117.58,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9752941.0,3.649866667
2018,22.990571428571428,87.4,1598626980.0,3449565.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9855900.0,3.8556
2019,22.846714285714285,87.4,1692266087.0,3645426.48,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9852504.0,3.688533333
1998,22.6921873015873,117.59999999999998,3066455.6,9000.73,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,31037.0,3.47
1999,23.25118888888889,69.7,3555885.65,9046.35,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,33505.0,3.64
2000,22.119425396825395,91.79999999999998,2732660.12,7237.36,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,27836.0,3.52
2001,22.475065873015872,41.39999999999999,2667022.82,6789.64,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,26114.0,3.51
2002,22.34032142857143,149.8,1880146.2,4965.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19860.0,4.01
2002,22.34032142857143,149.8,867437447.8,2290687.25,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9162749.0,2.558550725
2004,22.55540634920635,71.6,1015514373.0,1968414.42,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9373402.0,2.471714286
2005,22.78578095238095,168.4,1098940764.0,1924429.29,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,9163949.0,2.538142857
2007,22.487342857142856,293.80000000000007,2332098.8,2797.12,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,17482.0,4.36
2008,21.620158730158728,10.2,2636227.2,1658.7,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18430.0,4.36
2009,22.56987063492064,24.0,3320368.38,3622.53,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,21309.0,4.34
2010,23.403861904761907,44.8,3344624.85,4832.4,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,20135.0,4.34
2011,23.06541349206349,55.99999999999999,3170651.04,6245.91,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,18927.0,4.34
2012,22.898169841269844,49.39999999999999,2933060.0,6029.5,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19450.0,4.36
2013,23.03207936507937,240.40000000000003,2810330.5,5251.5,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19450.0,4.45
2014,22.787571428571425,246.0,2922585.6,6388.8,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19360.0,4.42
2015,22.884714285714285,278.7,3008185.5,6286.5,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19050.0,4.38
2016,22.808761904761905,52.40000000000001,3007071.5,6867.7,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19622.0,4.44
2017,23.13619047619048,87.4,3097002.24,7474.98,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19671.0,4.24
2018,22.990571428571428,87.4,3117484.0,6727.0,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19220.0,4.31
2019,22.846714285714285,87.4,3302601.28,7114.36,63.87,10.56,79.11,10.33,1.08,11.22,87.7,1.12,0.1,98.78,98.67,1.33,65.25,34.75,73.01,26.99,66.22,33.78,65.67,34.33,19228.0,4.31
